PERMNO,date,TICKER,VOL,RET,ALTPRC,RETX
17778,2000-07-31,BRK,99,0.024164,55100.00000,0.024164
17778,2000-08-31,BRK,110,0.047187,57700.00000,0.047187
17778,2000-09-29,BRK,103,0.116118,64400.00000,0.116118
17778,2000-10-31,BRK,100,-0.010870,63700.00000,-0.010870
17778,2000-11-30,BRK,100,0.034537,65900.00000,0.034537
17778,2000-12-29,BRK,87,0.077390,71000.00000,0.077390
17778,2001-01-31,BRK,81,-0.036620,68400.00000,-0.036620
17778,2001-02-28,BRK,53,0.027778,70300.00000,0.027778
17778,2001-03-30,BRK,64,-0.068990,65450.00000,-0.068990
17778,2001-04-30,BRK,49,0.038961,68000.00000,0.038961
17778,2001-05-31,BRK,43,0.010294,68700.00000,0.010294
17778,2001-06-29,BRK,45,0.010189,69400.00000,0.010189
17778,2001-07-31,BRK,47,-0.002882,69200.00000,-0.002882
17778,2001-08-31,BRK,41,0.002890,69400.00000,0.002890
17778,2001-09-28,BRK,136,0.008646,70000.00000,0.008646
17778,2001-10-31,BRK,144,0.017143,71200.00000,0.017143
17778,2001-11-30,BRK,55,-0.016854,70000.00000,-0.016854
17778,2001-12-31,BRK,47,0.080000,75600.00000,0.080000
17778,2002-01-31,BRK,45,-0.022487,73900.00000,-0.022487
17778,2002-02-28,BRK,41,-0.012179,73000.00000,-0.012179
17778,2002-03-28,BRK,68,-0.026027,71100.00000,-0.026027
17778,2002-04-30,BRK,68,0.033052,73450.00000,0.033052
17778,2002-05-31,BRK,73,0.015657,74600.00000,0.015657
17778,2002-06-28,BRK,90,-0.104558,66800.00000,-0.104558
17778,2002-07-31,BRK,140,0.022455,68300.00000,0.022455
17778,2002-08-30,BRK,53,0.068814,73000.00000,0.068814
17778,2002-09-30,BRK,51,0.012329,73900.00000,0.012329
17778,2002-10-31,BRK,92,0.003924,74190.00000,0.003924
17778,2002-11-29,BRK,59,-0.025475,72300.00000,-0.025475
17778,2002-12-31,BRK,60,0.006224,72750.00000,0.006224
17778,2003-01-31,BRK,85,-0.070790,67600.00000,-0.070790
17778,2003-02-28,BRK,71,-0.087278,61700.00000,-0.087278
17778,2003-03-31,BRK,82,0.034036,63800.00000,0.034036
17778,2003-04-30,BRK,81,0.094279,69815.00000,0.094279
17778,2003-05-30,BRK,89,0.016973,71000.00000,0.016973
17778,2003-06-30,BRK,87,0.021127,72500.00000,0.021127
17778,2003-07-31,BRK,109,-0.006759,72010.00000,-0.006759
17778,2003-08-29,BRK,96,0.052284,75775.00000,0.052284
17778,2003-09-30,BRK,64,-0.010228,75000.00000,-0.010228
17778,2003-10-31,BRK,60,0.037467,77810.00000,0.037467
17778,2003-11-28,BRK,53,0.076340,83750.00000,0.076340
17778,2003-12-31,BRK,53,0.005970,84250.00000,0.005970
17778,2004-01-30,BRK,72,0.062196,89490.00000,0.062196
17778,2004-02-27,BRK,49,0.055984,94500.00000,0.055984
17778,2004-03-31,BRK,58,-0.012698,93300.00000,-0.012698
17778,2004-04-30,BRK,48,0.000965,93390.00000,0.000965
17778,2004-05-28,BRK,67,-0.047007,89000.00000,-0.047007
17778,2004-06-30,BRK,37,-0.000562,88950.00000,-0.000562
17778,2004-07-30,BRK,50,-0.019112,87250.00000,-0.019112
17778,2004-08-31,BRK,50,-0.002865,87000.00000,-0.002865
17778,2004-09-30,BRK,49,-0.004023,86650.00000,-0.004023
17778,2004-10-29,BRK,67,-0.027698,84250.00000,-0.027698
17778,2004-11-30,BRK,78,-0.006528,83700.00000,-0.006528
17778,2004-12-31,BRK,103,0.050179,87900.00000,0.050179
17778,2005-01-31,BRK,70,0.022753,89900.00000,0.022753
17778,2005-02-28,BRK,48,0.003337,90200.00000,0.003337
17778,2005-03-31,BRK,92,-0.035477,87000.00000,-0.035477
17778,2005-04-29,BRK,146,-0.030460,84350.00000,-0.030460
17778,2005-05-31,BRK,83,-0.002964,84100.00000,-0.002964
17778,2005-06-30,BRK,59,-0.007134,83500.00000,-0.007134
17778,2005-07-29,BRK,38,0.000000,83500.00000,0.000000
17778,2005-08-31,BRK,65,-0.004192,83150.00000,-0.004192
17778,2005-09-30,BRK,130,-0.013830,82000.00000,-0.013830
17778,2005-10-31,BRK,97,0.047561,85900.00000,0.047561
17778,2005-11-30,BRK,94,0.040629,89390.00000,0.040629
17778,2005-12-30,BRK,64,-0.008614,88620.00000,-0.008614
17778,2006-01-31,BRK,71,0.009817,89490.00000,0.009817
17778,2006-02-28,BRK,49,-0.030059,86800.00000,-0.030059
17778,2006-03-31,BRK,91,0.040899,90350.00000,0.040899
17778,2006-04-28,BRK,83,-0.014942,89000.00000,-0.014942
17778,2006-05-31,BRK,129,0.036966,92290.00000,0.036966
17778,2006-06-30,BRK,96,-0.006837,91659.00000,-0.006837
17778,2006-07-31,BRK,78,-0.000644,91600.00000,-0.000644
17778,2006-08-31,BRK,74,0.049094,96097.00000,0.049094
17778,2006-09-29,BRK,62,-0.003091,95800.00000,-0.003091
17778,2006-10-31,BRK,95,0.100992,105475.00000,0.100992
17778,2006-11-30,BRK,85,0.015406,107100.00000,0.015406
17778,2006-12-29,BRK,73,0.026984,109990.00000,0.026984
17778,2007-01-31,BRK,77,0.000546,110050.00000,0.000546
17778,2007-02-28,BRK,76,-0.035075,106190.00000,-0.035075
17778,2007-03-30,BRK,72,0.026368,108990.00000,0.026368
17778,2007-04-30,BRK,56,0.001927,109200.00000,0.001927
17778,2007-05-31,BRK,114,0.002656,109490.00000,0.002656
17778,2007-06-29,BRK,82,-0.000137,109475.00000,-0.000137
17778,2007-07-31,BRK,82,0.004796,110000.00000,0.004796
